Id,car_ordinal,Height,Length,Width,Wheelbase,ModelFrontTrackOuter,ModelRearTrackOuter,BottomCenterWheelbasePosx,BottomCenterWheelbasePosy,BottomCenterWheelbasePosZ,PristineBoundingBoxMinZ,PristineBoundingBoxMaxZ
247000,247,1.16,4.178,1.6,2.329,1.48015,1.51989,0.0,0.0,0.0,-2.119805,2.098352
249000,249,1.21,4.325,1.6,2.4,1.549,1.564,0.0,0.0,0.0,-2.147889,2.151631
251000,251,1.3,4.52,1.79,2.4,1.573557,1.581363,-0.000165,0.0,-0.233788,-2.166641,2.149368
253000,253,1.17,4.25,1.9,2.45,1.783,1.856,0.0,0.0,0.118501,-2.223844,2.224412
255000,255,1.135,4.48,1.976,2.55,1.784147,1.949265,-0.000141,0.0,0.135,-2.276336,2.338086
260000,260,1.32,4.102,1.652,2.271,1.69,1.7,0.0,0.0,0.0,-2.160502,2.235605
261000,261,1.265,4.245,1.795,2.272,1.66,1.815,0.0,0.0,0.0,-2.250385,2.233509
262000,262,1.27,4.435,1.77,2.355,1.697,1.769,0.0,0.0,0.0,-2.26595,2.320635
265000,265,1.31,4.291,1.775,2.271,1.69,1.74,0.0,0.0,0.0,-2.190891,2.210774
268000,268,1.275,4.29,1.735,2.4,1.70281,1.68823,0.0,0.0,0.0,-2.185499,2.19639
269000,269,1.28,4.29,1.838,2.273,1.774219,1.828724,0.0,0.0,0.0025,-2.167342,2.220842
281000,281,1.341,4.897,1.819,2.743,1.735,1.701,0.0,0.0,-0.02,-2.606417,2.30964
289000,289,1.311,4.724,1.88,2.743,1.72857,1.72621,0.000219,0.0,-0.011922,-2.389149,2.374521
292000,292,1.166,4.613,1.921,2.73,1.854,1.873,0.0,0.0,0.0,-2.393876,2.400972
295000,295,1.306,4.331,1.735,2.601,1.695168,1.685095,-0.000482,0.0,0.046638,-2.225242,2.341114
296000,296,1.03,4.3,1.96,2.642,1.805902,1.823,0.0,0.0,0.0,-2.149442,2.254708
299000,299,1.359,5.009,1.93,2.845,1.773232,1.77566,4.5e-05,0.0,-0.162915,-2.497024,2.534149
302000,302,1.43,4.135,1.695,2.57,1.663162,1.663162,0.0,0.0,0.039559,-2.140529,2.150597
306000,306,1.244,3.962,1.727,2.286,1.649007,1.649007,0.0,0.0,0.0,-2.124571,1.890161
309000,309,1.32,4.05,1.796,2.47,1.604348,1.582839,0.0,0.0,0.100792,-2.111508,2.075538
312000,312,1.265,4.448,1.768,2.489,1.652025,1.674908,-0.000436,0.0,-0.117711,-2.21579,2.234417
314000,314,1.211,4.565,1.869,2.655,1.848733,1.888706,0.0,0.0,-0.123668,-2.144467,2.533731
315000,315,1.204,4.635,1.752,2.489,1.76646,1.764272,0.0,0.0,-0.052997,-2.354263,2.3104
316000,316,1.07,4.14,2.0,2.5,1.780284,1.959108,0.0,0.0,0.078293,-2.187797,2.14792
320000,320,1.27,3.8,1.675,2.32,1.656348,1.645524,0.0,0.0,0.0,-1.987884,1.996055
323000,323,1.365,3.898,1.767,2.479,1.705163,1.706434,0.0,0.0,0.0,-2.017159,2.000319
324000,324,1.115,4.43,2.04,2.65,1.775,1.995,0.0,0.0,0.0,-2.175938,2.305454
